model,prior_par0_st1,prior_par1_st1,minNegLike,AIC_model,st1_par0,st1_par1
weibull,0.5743,3.4624,1721.7528443934468,3447.5056887868936,1.1619376008525115,6.348514704280445
weibull,34.339,19.9028,17976931348623157e292,Inf,34.339000000000006,19.9028
weibull,26.4086,19.6645,17976931348623157e292,Inf,26.4086,19.664500000000004
weibull,10.0306,17.838,17976931348623157e292,Inf,10.0306,17.837999999999997
weibull,31.143,20.3528,17976931348623157e292,Inf,31.142999999999997,20.352799999999995
weibull,34.0516,3.6462,17976931348623157e292,Inf,34.0516,3.6461999999999994
weibull,20.1553,11.5965,17976931348623157e292,Inf,20.1553,11.596500000000002
weibull,24.0616,16.5695,17976931348623157e292,Inf,24.061599999999995,16.5695
weibull,4.6112,1.3294,17976931348623157e292,Inf,4.6112,1.3294
weibull,21.9198,8.0814,17976931348623157e292,Inf,21.9198,8.081399999999999
weibull,12.1202,18.9165,17976931348623157e292,Inf,12.120199999999999,18.9165
weibull,16.6871,12.8464,17976931348623157e292,Inf,16.6871,12.846400000000001
weibull,20.038,21.681,17976931348623157e292,Inf,20.037999999999997,21.681000000000004
weibull,5.8094,20.7726,17976931348623157e292,Inf,5.8094,20.772599999999997
weibull,6.1276,5.5152,17976931348623157e292,Inf,6.1276,5.5152
weibull,29.0819,12.7943,17976931348623157e292,Inf,29.081900000000005,12.7943
weibull,19.7417,13.4702,17976931348623157e292,Inf,19.741699999999998,13.470200000000002
weibull,18.2189,1.1443,17976931348623157e292,Inf,18.2189,1.1443
weibull,29.306,7.3937,17976931348623157e292,Inf,29.306,7.3937
weibull,3.656,13.4356,17976931348623157e292,Inf,3.656,13.435599999999999
weibull,24.1977,21.1922,17976931348623157e292,Inf,24.1977,21.192199999999996
weibull,18.8339,4.3436,17976931348623157e292,Inf,18.8339,4.3436
weibull,27.3919,6.4865,17976931348623157e292,Inf,27.391900000000003,6.486500000000001
weibull,16.9475,7.9943,17976931348623157e292,Inf,16.947499999999998,7.9943
weibull,3.1728,7.6862,17976931348623157e292,Inf,3.1728,7.686200000000002
weibull,18.7316,3.4352,17976931348623157e292,Inf,18.731600000000004,3.4352
weibull,36.6059,20.9584,17976931348623157e292,Inf,36.6059,20.958400000000005
weibull,16.3007,14.7555,17976931348623157e292,Inf,16.3007,14.755500000000001
weibull,36.6304,13.2279,17976931348623157e292,Inf,36.6304,13.227900000000002
weibull,13.1609,2.0335,17976931348623157e292,Inf,13.1609,2.0335
weibull,17.9972,20.9567,17976931348623157e292,Inf,17.997199999999996,20.956699999999998
weibull,23.3448,5.6277,17976931348623157e292,Inf,23.3448,5.627699999999999
weibull,16.0475,22.8443,17976931348623157e292,Inf,16.047499999999996,22.8443
weibull,2.1039,17.67,1721.7528443934902,3447.5056887869805,1.1619375909692848,6.3485145036387
weibull,16.1244,22.0356,17976931348623157e292,Inf,16.124400000000005,22.035600000000002
weibull,3.2908,1.227,17976931348623157e292,Inf,3.2908,1.227
weibull,28.1857,19.5818,17976931348623157e292,Inf,28.185700000000004,19.581800000000005
weibull,39.6248,5.8295,17976931348623157e292,Inf,39.62479999999999,5.8295
weibull,20.5038,7.1622,17976931348623157e292,Inf,20.503799999999995,7.1621999999999995
weibull,19.8114,16.5439,17976931348623157e292,Inf,19.811400000000003,16.5439
weibull,0.6877,1.1374,1721.7528443925619,3447.5056887851238,1.1619385115723502,6.348523200149751
weibull,30.9188,1.1148,17976931348623157e292,Inf,30.918799999999994,1.1148
weibull,21.4063,14.7921,17976931348623157e292,Inf,21.406300000000005,14.792100000000003
weibull,29.4268,14.0846,17976931348623157e292,Inf,29.426799999999997,14.0846
weibull,2.9511,1.1319,17976931348623157e292,Inf,2.9511,1.1319
weibull,1.6026,11.2641,1721.7528443934807,3447.5056887869614,1.161937596546162,6.348514530584699
weibull,16.7652,17.2032,17976931348623157e292,Inf,16.765200000000004,17.2032
weibull,4.4821,14.1717,17976931348623157e292,Inf,4.4821,14.171699999999996
weibull,23.8778,9.5861,17976931348623157e292,Inf,23.877800000000004,9.586099999999998
weibull,16.0075,16.0544,17976931348623157e292,Inf,16.0075,16.0544
weibull,36.7177,19.0911,17976931348623157e292,Inf,36.71770000000001,19.091099999999997
weibull,6.813,5.4866,17976931348623157e292,Inf,6.813,5.4866
weibull,23.1275,2.529,17976931348623157e292,Inf,23.127500000000005,2.529
weibull,17.6006,22.1907,17976931348623157e292,Inf,17.600600000000004,22.1907
weibull,23.2618,6.5529,17976931348623157e292,Inf,23.261799999999997,6.5529
weibull,1.5686,20.2793,1721.7528443944013,3447.5056887888027,1.1619371985975155,6.348511068273527
weibull,34.4651,1.8804,17976931348623157e292,Inf,34.46509999999999,1.8804
weibull,12.6984,18.9603,17976931348623157e292,Inf,12.698399999999996,18.9603
weibull,27.0546,16.5303,17976931348623157e292,Inf,27.054600000000004,16.530300000000004
weibull,32.9402,12.1795,17976931348623157e292,Inf,32.940200000000004,12.179500000000003
weibull,20.5166,10.5733,17976931348623157e292,Inf,20.516600000000004,10.573299999999998
weibull,24.9327,11.6657,17976931348623157e292,Inf,24.932700000000004,11.665699999999998
weibull,12.1121,16.6158,17976931348623157e292,Inf,12.112100000000002,16.615800000000004
weibull,6.2205,15.062,17976931348623157e292,Inf,6.2205,15.062
weibull,23.1219,14.1885,17976931348623157e292,Inf,23.1219,14.188500000000001
weibull,7.5044,10.9384,17976931348623157e292,Inf,7.504399999999999,10.9384
weibull,24.5748,19.3737,17976931348623157e292,Inf,24.574800000000003,19.3737
weibull,31.5292,12.0812,17976931348623157e292,Inf,31.5292,12.0812
weibull,27.4787,20.7794,17976931348623157e292,Inf,27.4787,20.7794
weibull,9.3916,12.8045,17976931348623157e292,Inf,9.391599999999999,12.8045
weibull,29.6068,1.7788,17976931348623157e292,Inf,29.606800000000003,1.7788
weibull,18.98,1.9335,17976931348623157e292,Inf,18.979999999999997,1.9335
weibull,36.3238,3.7886,17976931348623157e292,Inf,36.3238,3.7886
weibull,25.2592,8.4275,17976931348623157e292,Inf,25.259200000000003,8.4275
weibull,3.466,22.6833,1721.7528443931617,3447.5056887863234,1.1619376097517116,6.348517941208008
weibull,13.493,9.5303,17976931348623157e292,Inf,13.493,9.5303
weibull,5.5183,0.49370000000000003,17976931348623157e292,Inf,5.518300000000001,0.49370000000000003
weibull,4.628,19.1756,17976931348623157e292,Inf,4.628,19.175600000000003
weibull,19.8792,6.9488,17976931348623157e292,Inf,19.879200000000004,6.948800000000001
weibull,3.271,17.9511,1721.7528443934175,3447.505688786835,1.1619375782863437,6.348515139309916
weibull,0.6492,8.6305,1721.752844394053,3447.505688788106,1.1619373288483055,6.348512269524196
weibull,27.7731,12.2475,17976931348623157e292,Inf,27.773100000000003,12.247500000000002
weibull,10.2142,4.909,17976931348623157e292,Inf,10.214199999999998,4.909
weibull,26.2983,18.4042,17976931348623157e292,Inf,26.298300000000008,18.404199999999996
weibull,35.341,19.1175,17976931348623157e292,Inf,35.341,19.117500000000003
weibull,10.6882,7.9587,17976931348623157e292,Inf,10.688199999999998,7.9587
weibull,4.1572,17.56,17976931348623157e292,Inf,4.1572,17.56
weibull,25.908,3.3846,17976931348623157e292,Inf,25.907999999999998,3.3845999999999994
weibull,9.3,21.0174,17976931348623157e292,Inf,9.3,21.017399999999995
weibull,22.4458,11.1104,17976931348623157e292,Inf,22.4458,11.1104
weibull,17.2342,10.9848,17976931348623157e292,Inf,17.2342,10.9848
weibull,10.4182,15.951,17976931348623157e292,Inf,10.418200000000002,15.951
weibull,28.8979,7.1548,17976931348623157e292,Inf,28.897900000000003,7.1548
weibull,7.4355,10.0491,17976931348623157e292,Inf,7.435500000000001,10.049099999999997
weibull,4.6982,12.7855,17976931348623157e292,Inf,4.6982,12.785499999999999
weibull,18.4774,19.3564,17976931348623157e292,Inf,18.4774,19.3564
weibull,9.0028,14.5995,17976931348623157e292,Inf,9.002799999999999,14.599499999999999
weibull,26.8453,17.1509,17976931348623157e292,Inf,26.845300000000005,17.1509
weibull,12.3082,9.6058,17976931348623157e292,Inf,12.308200000000001,9.605800000000002
weibull,7.6952,12.2802,17976931348623157e292,Inf,7.6952,12.2802
gamma,3.6277,2.7055,1673.6690298957806,3351.338059791561,5.938681113592219,4.291202646391128
gamma,5.7284,5.805,1673.669029895571,3351.338059791142,5.9386808607059285,4.291203681639922
gamma,5.419,3.286,1673.6690298951432,3351.3380597902865,5.938681446129681,4.291204457010468
gamma,4.8926,6.0506,1673.669029895467,3351.338059790934,5.938681017563813,4.291203851522379
gamma,3.1334,4.8199,1673.6690298947683,3351.3380597895366,5.938681893103136,4.291205325532224
gamma,3.8116,2.2649,1673.6690298949547,3351.3380597899095,5.938681807203015,4.291204598800068
gamma,3.935,3.9727,1673.6690298950934,3351.338059790187,5.938681635321219,4.291204287489495
gamma,5.3542,5.2634,1673.6690298951955,3351.338059790391,5.938681441794664,4.291204234146856
gamma,3.6625,4.1235,1673.6690298950668,3351.3380597901337,5.938681706770723,4.291204304472724
gamma,4.8345,1.9636,1673.6690298947963,3351.3380597895925,5.938682168088624,4.291204672703435
gamma,3.036,2.1657,1673.6690298944143,3351.3380597888286,5.93868288845616,4.291205128600645
gamma,4.7009,4.2172,1673.6690298897565,3351.338059779513,5.938698523215074,4.291219647879419
gamma,6.1753,4.442,1673.6690298948065,3351.338059789613,5.938682198107297,4.291204588471805
gamma,5.0817,1.2573,1673.6690298950707,3351.3380597901414,5.9386817513044425,4.291204233487281
gamma,4.465,1.2513,1673.6690298950793,3351.3380597901587,5.938681128582817,4.291205767083798
gamma,5.4662,1.883,1673.6690298951908,3351.3380597903815,5.938680911943058,4.291205860947858
gamma,2.8615,5.4199,1673.6690298950864,3351.338059790173,5.938681684179524,4.291204251750915
gamma,3.601,2.7205,1673.669029895504,3351.338059791008,5.938681528951359,4.291203033364922
gamma,3.8202,7.0393,1673.6690298950773,3351.3380597901546,5.9386817298227665,4.291204238310958
gamma,4.8939,5.6006,1673.669029898274,3351.338059796548,5.9386769082516055,4.291200665959223
gamma,4.8746,5.8601,1673.6690298962847,3351.3380597925693,5.93867970135211,4.291202910111878
gamma,3.5547,2.1249,1673.6690298942665,3351.338059788533,5.938682465834862,4.291207360656188
gamma,3.1382,7.0408,1673.6690298897538,3351.3380597795076,5.938698459450383,4.29121962313087
gamma,4.1393,1.9442,1673.6690298950448,3351.3380597900896,5.938681695584685,4.291204417231548
gamma,5.6118,1.3163,1673.6690298897547,3351.3380597795094,5.938698540761869,4.291219649248766
gamma,3.5404,7.9158,1673.6690298951464,3351.338059790293,5.938681523276616,4.291204281666045
gamma,4.1134,2.5584,1673.669029895175,3351.33805979035,5.938681555393893,4.291204128253082
gamma,5.7693,2.3256,1673.669029894089,3351.338059788178,5.938683856070456,4.291205187520357
gamma,2.8371,2.9004,1673.6690298897502,3351.3380597795003,5.938698557386876,4.291219526697115
gamma,5.7946,6.0657,1673.669029895097,3351.338059790194,5.938681660956975,4.2912042545368765
gamma,3.1726,2.702,1673.6690298944789,3351.3380597889577,5.93868239580809,4.291205776803031
gamma,5.1887,7.4911,1673.6690298949898,3351.3380597899795,5.93868182730058,4.291204412852336
gamma,5.3616,1.0745,1673.6690298897583,3351.3380597795167,5.938698272784034,4.291219380973075
gamma,4.3416,5.2269,1673.6690298897504,3351.338059779501,5.938698530412559,4.291219549521327
gamma,3.7068,2.9163,1673.6690298951062,3351.3380597902124,5.938681509829391,4.291204477286327
gamma,5.7666,7.5443,1673.6690298950446,3351.338059790089,5.938681751172598,4.2912043407283464
gamma,5.4199,3.8325,1673.6690298897608,3351.3380597795217,5.938698381620701,4.29121945532749
gamma,6.1637,1.55,1673.6690298948874,3351.338059789775,5.938682029905616,4.291204525588989
gamma,4.4389,1.3754,1673.669029889762,3351.338059779524,5.938698444500489,4.291219726197174
gamma,3.0811,2.4031,1673.6690298951232,3351.3380597902465,5.938681515514716,4.291204410622943
gamma,5.2138,2.2136,1673.6690298897545,3351.338059779509,5.93869847267319,4.291219826149053
gamma,2.9534,1.3539,1673.6690298897554,3351.338059779511,5.93869855139953,4.291219634996568
gamma,3.6069,4.6445,1673.669029892575,3351.33805978515,5.9386859057676675,4.291209646546352
gamma,3.646,2.3742,1673.669029897298,3351.338059794596,5.93867898640164,4.291200666502695
gamma,4.1899,3.9879,1673.6690298897602,3351.3380597795203,5.938698169598603,4.291219289369107
gamma,4.3529,2.6739,1673.6690298958063,3351.3380597916125,5.938680974630279,4.291202708161031
gamma,6.3069,7.1325,1673.6690298950243,3351.3380597900486,5.938681788418453,4.291204375087372
gamma,5.8811,2.8004,1673.669029889762,3351.338059779524,5.938698146594331,4.291219369431728
gamma,3.8794,2.8101,1673.6690298952049,3351.3380597904097,5.9386816408113665,4.291203877303909
gamma,6.1856,1.2147,1673.6690298948051,3351.3380597896103,5.938682007074266,4.2912049051461665
gamma,3.6616,5.7571,1673.6690298927272,3351.3380597854543,5.938686140982808,4.291207987262908
gamma,3.6524,7.4062,1673.669029894268,3351.338059788536,5.938683431860148,4.291204997513551
gamma,4.8723,1.1828,1673.669029895068,3351.338059790136,5.938681702701131,4.2912042939595825
gamma,6.276,6.5712,1673.6690298954088,3351.3380597908176,5.938681503631663,4.2912033364217725
gamma,6.3547,1.8408,1673.6690298950157,3351.3380597900314,5.93868177552786,4.291204402743269
gamma,5.1143,4.1361,1673.669029893182,3351.338059786364,5.938684633720574,4.291208408746965
gamma,2.97,7.8812,1673.6690298948579,3351.3380597897158,5.938682336168537,4.291204193155538
gamma,5.8776,7.7682,1673.669029895231,3351.338059790462,5.938681438236414,4.291204053959328
gamma,4.7093,6.7194,1673.6690298950107,3351.3380597900214,5.9386817878761615,4.291204395232326
gamma,3.4806,1.3492,1673.6690298950464,3351.3380597900928,5.938681748423735,4.291204331222421
gamma,3.8137,7.6764,1673.6690299010668,3351.3380598021336,5.938674153595591,4.291196822338243
gamma,4.505,1.6857,1673.669029894951,3351.338059789902,5.938681861294541,4.291204536670261
gamma,4.415,1.1298,1673.669029895242,3351.338059790484,5.93868117492224,4.2912045671566625
gamma,5.2342,7.3903,1673.6690298952535,3351.338059790507,5.938681228536252,4.291204338707031
gamma,2.8795,6.8467,1673.6690298933856,3351.3380597867713,5.938685192836293,4.29120632970336
gamma,6.3709,4.2915,1673.6690298953413,3351.3380597906826,5.9386811337568375,4.291204141478712
gamma,3.334,6.2217,1673.669029889752,3351.338059779504,5.938698214252141,4.2912193317574925
gamma,3.9662,7.4141,1673.6690298951596,3351.338059790319,5.9386827124367185,4.291203021253636
gamma,4.6548,4.7665,1673.6690298897497,3351.3380597794994,5.938698566015435,4.29121967507656
gamma,5.6297,3.0035,1673.6690298950489,3351.3380597900978,5.9386817240882515,4.291204359106723
gamma,4.3689,1.7114,1673.6690298924057,3351.3380597848113,5.938686322869006,4.291209867835043
gamma,3.1415,7.0613,1673.6690298905683,3351.3380597811365,5.938694470729567,4.291220200301503
gamma,4.3255,4.1251,1673.6690298951019,3351.3380597902037,5.93868165023931,4.291204255052058
gamma,3.5094,7.1706,1673.6690298956178,3351.3380597912355,5.938680850107762,4.291203494612797
gamma,3.3152,2.6558,1673.6690298950618,3351.3380597901237,5.938681695167818,4.291204329790468
gamma,5.0372,4.5198,1673.669029889758,3351.338059779516,5.938698437173614,4.2912196202139725
gamma,4.7526,7.4738,1673.6690298949507,3351.3380597899013,5.938681975170028,4.291204364537604
gamma,3.3131,3.0051,1673.6690298951823,3351.3380597903647,5.938681342942308,4.291204450529321
gamma,3.8098,7.3896,1673.669029895673,3351.338059791346,5.9386808290995585,4.291203361398949
gamma,4.9823,5.9492,1673.669029896097,3351.338059792194,5.93867997453781,4.291203124537651
gamma,3.2687,5.3053,1673.6690298953313,3351.3380597906626,5.938681074987021,4.291204304285721
gamma,4.0345,5.6987,1673.669029889757,3351.338059779514,5.9386984642384055,4.291219454354604
gamma,6.2349,6.947,1673.6690298941623,3351.3380597883247,5.9386833589501675,4.291205484130383
gamma,5.9071,4.3786,1673.6690298951935,3351.338059790387,5.938681514872351,4.291204088741792
gamma,4.1109,2.2306,1673.6690298937365,3351.338059787473,5.938683546825018,4.291209968678912
gamma,4.5479,6.0836,1673.669029889759,3351.338059779518,5.938698653651819,4.2912196188796585
gamma,4.3521,6.0582,1673.6690298950398,3351.3380597900796,5.938681751747485,4.291204335582181
gamma,5.2003,1.6601,1673.6690298897547,3351.3380597795094,5.938698220336088,4.291219250735989
gamma,5.1589,7.0867000000000004,1673.6690298949875,3351.338059789975,5.938681819203902,4.291204407895955
gamma,4.2158,6.6419,1673.6690298948438,3351.3380597896876,5.93868206293376,4.29120464848983
gamma,3.8742,4.4792,1673.669029895102,3351.338059790204,5.938681613149829,4.291204294505937
gamma,5.7402,1.4113,1673.6690298950296,3351.338059790059,5.938681766592002,4.291204360301115
gamma,4.9808,2.7532,1673.6690298936164,3351.338059787233,5.938683934926973,4.291207090654241
gamma,4.629,5.5785,1673.6690298956423,3351.3380597912846,5.938680727086832,4.291203640490732
gamma,5.1769,7.849,1673.669029889754,3351.338059779508,5.938698509131568,4.291219610073532
gamma,3.6406,4.0397,1673.6690298950148,3351.3380597900295,5.938681794680759,4.291204381419707
gamma,3.6468,1.7651,1673.6690298951853,3351.3380597903706,5.938681552409703,4.291204076855219
gamma,5.8286,5.9608,1673.669029895074,3351.338059790148,5.9386816978048484,4.291204297666917
gamma,5.5127,7.8804,1673.6690298956028,3351.3380597912055,5.938680301874007,4.291205049202
gamma,3.5736,2.2218,1673.6690298897515,3351.338059779503,5.938698770676763,4.291219752312392
